,adj,adp,adv,aux,cconj,det,intj,noun,num,part,pron,propn,sconj,verb,fable_name,work_id
100,8,5,9,1,6,5,0,20,0,2,7,0,2,23,Babrius - 21) The Oxen and the Butchers,tlg0614.tlg001
101,4,2,6,0,0,5,0,7,0,0,0,0,0,8,Babrius - 8) The Arab and His Camel,tlg0614.tlg001
102,12,2,10,2,3,4,0,16,0,0,9,0,0,22,Babrius - 119) How Hermes Bestowed a Treasure,tlg0614.tlg001
103,7,3,6,0,1,6,0,10,0,0,4,0,0,11,Babrius - 96) Emboldened by Circumstance,tlg0614.tlg001
104,10,2,7,0,4,14,1,17,0,8,7,0,2,29,Babrius - 7) The Horse and the Ass,tlg0614.tlg001
105,13,5,13,2,8,12,0,23,0,0,7,0,2,15,Babrius - 64) The Fir Tree and the Bramble,tlg0614.tlg001
106,5,3,9,1,0,8,0,13,0,0,5,0,2,14,Babrius - 127) The Mills of the Gods Grind Slowly,tlg0614.tlg001
107,7,5,11,0,3,6,0,14,0,0,4,0,0,14,Babrius - 101) The Vainglorious Wolf,tlg0614.tlg001
108,20,3,15,1,3,8,2,19,0,0,10,0,0,16,Babrius - 71) The Sea,tlg0614.tlg001
109,85,18,79,3,26,33,2,125,0,8,48,0,5,162,Babrius - 95) The Stag without a Heart,tlg0614.tlg001
110,11,1,12,1,5,11,0,28,0,1,3,0,1,30,Babrius - 18) The North Wind and the Sun,tlg0614.tlg001
111,5,4,4,0,3,7,0,14,0,0,5,0,0,12,Babrius - 91) Temporarily Patient,tlg0614.tlg001
112,10,2,10,2,2,5,0,14,0,0,4,0,0,13,Babrius - 120) Physician Heal Thyself,tlg0614.tlg001
113,15,7,24,1,6,11,0,40,0,0,7,0,1,25,Babrius - 31) The Mice and their Generals,tlg0614.tlg001
114,19,0,23,2,4,4,0,26,0,2,11,0,2,35,Babrius - 103) One-Way Traffic,tlg0614.tlg001
115,11,2,26,0,8,16,0,26,0,0,12,0,1,43,Babrius - 50) Double-Crossed,tlg0614.tlg001
116,14,4,14,0,9,8,0,34,0,1,13,0,3,34,Babrius - 98) Disarmed by Love,tlg0614.tlg001
117,11,0,11,1,2,4,0,29,0,2,3,0,0,20,Babrius - 77) The Fox and the Crow,tlg0614.tlg001
118,5,3,16,1,3,3,0,23,0,1,11,0,0,17,Babrius - 115) Showing a Turtle how to Fly,tlg0614.tlg001
119,8,2,4,0,1,11,0,10,0,0,3,0,1,17,Babrius - 83) Undernourished,tlg0614.tlg001
120,6,4,14,1,2,8,0,18,0,1,8,0,3,18,"Babrius - 51) Fleece Me, But Don't Flay Me",tlg0614.tlg001
121,11,1,9,2,5,4,0,16,0,1,4,0,0,13,Babrius - 67) The Lion's Share,tlg0614.tlg001
122,6,2,5,3,1,1,0,7,0,0,4,0,1,14,"Babrius - 87) Let it be Yea Yea, or Nay Nay",tlg0614.tlg001
123,3,1,6,0,0,2,0,3,0,2,3,0,2,12,Babrius - 14) The Bear and the Fox,tlg0614.tlg001
124,9,3,11,2,4,12,1,17,0,0,3,0,2,23,Babrius - 82) Good Reason to be Alarmed,tlg0614.tlg001
125,16,1,8,1,8,6,1,15,0,0,7,0,1,17,Babrius - 10) Aphrodite and the Slave Girl,tlg0614.tlg001
126,4,1,7,1,0,5,0,7,0,1,4,0,0,9,Babrius - 40) The Rise of the Proletariat,tlg0614.tlg001
127,10,0,10,0,0,5,0,10,0,3,9,0,2,15,Babrius - 38) The Unkindest Cut of All,tlg0614.tlg001
128,4,2,4,0,2,2,0,11,0,1,4,0,0,12,Babrius - 17) Cat as Fowler,tlg0614.tlg001
129,31,2,26,1,5,11,2,46,0,9,10,0,2,44,Babrius - 106) Deeply Worried about the Future,tlg0614.tlg001
130,5,4,4,2,3,4,0,14,0,1,3,0,1,12,Babrius - 62) Only a Half-Breed,tlg0614.tlg001
131,7,4,5,1,0,6,0,12,0,0,6,0,0,16,Babrius - 58) Hope,tlg0614.tlg001
132,3,1,12,2,2,3,0,10,0,0,2,0,2,14,Babrius - 81) Nolo Contendre,tlg0614.tlg001
133,12,1,13,3,4,7,1,21,0,0,11,0,1,22,Babrius - 13) The Farmer and the Stork,tlg0614.tlg001
134,21,6,24,4,3,10,1,16,0,0,11,0,3,21,Babrius - 47) Strength in Unity,tlg0614.tlg001
135,4,5,12,1,2,5,0,12,0,1,8,0,0,14,Babrius - 30) Hermes on Sale,tlg0614.tlg001
