,work_id,fable_name,top_frequency,top_frequency_in_work,top_tf-idf,top_ctf-idf,x_umap,y_umap
20,NA28-042LUK,Luke 5 - Old and New Garment,καί παλαιός καινός ἀσκός νέος,καί αὐτός δέ σύ ἐν λέγω εἰμί οὗτος ἐγώ εἶπον,παλαιός ἀσκός καινός νέος οἶνος,κύριος καλέω δοῦλος παραβολή ἵνα υἱός ὑμεῖς ἐπί ἀπό ποιέω,-2.1498363,2.1095624
21,NA28-042LUK,Luke 16 - The Rich Man and Lazarus,καί αὐτός δέ ἀβραάμ ἐν,καί αὐτός δέ σύ ἐν λέγω εἰμί οὗτος ἐγώ εἶπον,ἀβραάμ λάζαρος καί αὐτός πάτηρ,κύριος καλέω δοῦλος παραβολή ἵνα υἱός ὑμεῖς ἐπί ἀπό ποιέω,-2.1940665,2.2504857
22,NA28-042LUK,Luke 15 - The Prodigal Son,καί αὐτός δέ σύ πατήρ,καί αὐτός δέ σύ ἐν λέγω εἰμί οὗτος ἐγώ εἶπον,καί αὐτός πατήρ υἱός σύ,κύριος καλέω δοῦλος παραβολή ἵνα υἱός ὑμεῖς ἐπί ἀπό ποιέω,-1.9944149,2.460343
23,NA28-042LUK,Luke 15 - The Lost Sheep,αὐτός καί ἐπί λέγω εὑρίσκω,καί αὐτός δέ σύ ἐν λέγω εἰμί οὗτος ἐγώ εἶπον,ἐνενήκοντα ἐννέα ἐπί εὑρίσκω πρόβατον,κύριος καλέω δοῦλος παραβολή ἵνα υἱός ὑμεῖς ἐπί ἀπό ποιέω,-2.7520223,2.0063016
24,tlg0532.tlg001,Leucippe and Clitophon - Conops or the gnat,καί δέ ἐγώ αὐτός λέων,καί δέ ἐγώ αὐτός λέων εἰμί μέν σύ γάρ κώνωψ,καί δέ λέων κώνωψ ἐγώ,κώνωψ ἐλέφας ἀράχνης κώνωπς ἅμα ἀήρ βέλος ὀδών ὅσος λέων,-2.0101526,3.2710388
25,tlg1765.tlg003,Life of Aesop - The Eagle and the Dung Beetle (§134),καί δέ κάνθαρος οὗτος μή,καί δέ οὗτος αὐτός μή κάνθαρος ἐπί γυνή πρός ἀετός,κάνθαρος ἀετός καταφεύγω ζεύς δελφοί,κάνθαρος ἀετός δελφοί γυνή ὀνάριον καταφεύγω ἐκἀ ζεύς πάλιν ὑπό,-2.1067178,1.7953919
26,tlg1765.tlg003,Life of Aesop - The Woman who had burried her Husband (§129),καί γυνή δέ ἐγώ αὐτός,καί δέ οὗτος αὐτός μή κάνθαρος ἐπί γυνή πρός ἀετός,γυνή καί βοῦς θρηνέω δήποτε,κάνθαρος ἀετός δελφοί γυνή ὀνάριον καταφεύγω ἐκἀ ζεύς πάλιν ὑπό,-1.7511142,2.6598227
27,tlg1765.tlg003,Life of Aesop - The Farmer (§140),καί δέ οὗτος ὑπό ἐπί,καί δέ οὗτος αὐτός μή κάνθαρος ἐπί γυνή πρός ἀετός,ὀνάριον ὑπό ἐπί ἀπόλλυμι καί,κάνθαρος ἀετός δελφοί γυνή ὀνάριον καταφεύγω ἐκἀ ζεύς πάλιν ὑπό,-2.4903107,2.0592082
28,tlg0614.tlg001,Babrius - 42) The Departure of a Well-Sated Guest,κύων ἐρωτάω ἐν δέ δεῖπνον,δʼ καί δέ ἐγώ εἰμί οὐ τις αὐτός σύ εἶπον,κύων ἐρωτάω δεῖπνον ἦλθε ἐκτός,μῦθος κακός τε ποτʼ λέων εἶδον φημί φεύγω λύκος ἀνήρ,-3.076823,2.242331
29,tlg0614.tlg001,Babrius - 74) Man's Year,καί κύων δʼ εἰμί εἰς,δʼ καί δέ ἐγώ εἰμί οὐ τις αὐτός σύ εἶπον,κύων ἵππος διόπερ ξένος βοῦς,μῦθος κακός τε ποτʼ λέων εἶδον φημί φεύγω λύκος ἀνήρ,-0.653611,2.6022985
